club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url
11,arsenal-fc,Arsenal FC,,England,2025,GB1,premier-league,Premier League,1,
281,manchester-city-fc,Manchester City FC,,England,2025,GB1,premier-league,Premier League,1,
631,chelsea-fc,Chelsea FC,,England,2025,GB1,premier-league,Premier League,1,
31,liverpool-fc,Liverpool FC,,England,2025,GB1,premier-league,Premier League,1,
985,manchester-united,Manchester United,,England,2025,GB1,premier-league,Premier League,1,
148,tottenham-hotspur,Tottenham Hotspur,,England,2025,GB1,premier-league,Premier League,1,
418,real-madrid,Real Madrid,,Spain,2025,ES1,la-liga,La Liga,1,
131,barcelona,FC Barcelona,,Spain,2025,ES1,la-liga,La Liga,1,
13,atletico-madrid,Atletico Madrid,,Spain,2025,ES1,la-liga,La Liga,1,
506,juventus,Juventus,,Italy,2025,IT1,serie-a,Serie A,1,
762,newcastle-united,Newcastle United,,England,2025,GB1,premier-league,Premier League,1,
405,aston-villa,Aston Villa,,England,2025,GB1,premier-league,Premier League,1,
379,west-ham-united,West Ham United,,England,2025,GB1,premier-league,Premier League,1,
3009,inter-miami,Inter Miami CF,,USA,2025,US1,mls,MLS,1,
