player_id,player_slug,player_name,player_image_url,date_of_birth,place_of_birth_country,place_of_birth,height,citizenship_country,citizenship,position,foot,player_agent_url,player_agent,current_club_id,current_club_url,joined,contract_expires,social_media_url,social_media,player_main_position,player_sub_position,season,competition_id,competition_url,competition_name,team_id,team_url,team_name,nb_in_group,nb_on_pitch,goals,own_goals,assists,subed_in,subed_out,yellow_cards,second_yellow_cards,direct_red_cards,penalty_goals,minutes_played,goals_conceded,clean_sheets
1,bukayo-saka,Bukayo Saka,,1999-09-05,England,London,178,England,England,Right Winger,right,,,11,,2021-07-01,2027-06-30,,,Right Winger,,2025,GB1,,Premier League,11,,Arsenal FC,25,20,8,0,12,2,3,1,0,0,0,1800,0,0
2,martin-odegaard,Martin Ødegaard,,1998-12-17,Norway,Drammen,178,Norway,Norway,Attacking Midfield,right,,,11,,2021-01-01,2026-06-30,,,Attacking Midfield,,2025,GB1,,Premier League,11,,Arsenal FC,25,22,6,0,15,1,2,0,0,0,0,1900,0,0
3,erling-haaland,Erling Haaland,,2000-07-21,Norway,Leeds,194,Norway,Norway,Centre-Forward,right,,,281,,2022-07-01,2027-06-30,,,Centre-Forward,,2025,GB1,,Premier League,281,,Manchester City FC,25,24,25,0,8,0,1,2,0,0,0,2100,0,0
4,kevin-de-bruyne,Kevin De Bruyne,,1991-06-28,Belgium,Drongen,181,Belgium,Belgium,Attacking Midfield,right,,,281,,2015-08-30,2025-06-30,,,Attacking Midfield,,2025,GB1,,Premier League,281,,Manchester City FC,25,20,7,0,18,3,2,1,0,0,0,1700,0,0
5,mohamed-salah,Mohamed Salah,,1992-06-15,Egypt,Nagrig,175,Egypt,Egypt,Right Winger,left,,,31,,2017-07-01,2025-06-30,,,Right Winger,,2025,GB1,,Premier League,31,,Liverpool FC,25,23,20,0,10,1,2,0,0,0,0,2000,0,0
6,virgil-van-dijk,Virgil van Dijk,,1991-07-08,Netherlands,Breda,193,Netherlands,Netherlands,Centre-Back,right,,,31,,2018-01-01,2025-06-30,,,Centre-Back,,2025,GB1,,Premier League,31,,Liverpool FC,25,25,2,0,1,0,0,3,0,0,0,2250,15,8
7,karim-benzema,Karim Benzema,,1987-12-19,France,Lyon,185,France,France,Centre-Forward,right,,,418,,2009-07-09,2023-06-30,,,Centre-Forward,,2025,ES1,,La Liga,418,,Real Madrid,25,20,15,0,7,2,3,1,0,0,0,1600,0,0
8,lionel-messi,Lionel Messi,,1987-06-24,Argentina,Rosario,170,Argentina,Argentina,Right Winger,left,,,131,,2021-08-01,2023-06-30,,,Right Winger,,2025,ES1,,La Liga,131,,FC Barcelona,25,22,12,0,14,1,2,0,0,0,0,1900,0,0
9,sergio-ramos,Sergio Ramos,,1986-03-30,Spain,Camas,184,Spain,Spain,Centre-Back,right,,,13,,2005-08-01,2021-06-30,,,Centre-Back,,2025,ES1,,La Liga,13,,Atletico Madrid,25,24,3,0,2,0,1,8,0,1,0,2100,20,6
10,cristiano-ronaldo,Cristiano Ronaldo,,1985-02-05,Portugal,Funchal,187,Portugal,Portugal,Centre-Forward,right,,,506,,2018-07-10,2022-06-30,,,Centre-Forward,,2025,IT1,,Serie A,506,,Juventus,25,21,18,0,5,0,2,2,0,0,0,1800,0,0
11,lionel-messi,Lionel Messi,,1987-06-24,Argentina,Rosario,170,Argentina,Argentina,Right Winger,left,,,3009,,2023-07-01,2025-06-30,,,Right Winger,,2025,US1,,MLS,3009,,Inter Miami CF,25,22,12,0,14,1,2,0,0,0,0,1900,0,0
